ID_INDIVIDU,CODE_MAGASIN,PAYS,ETAT,TAILLE,TAILLE_SG,TAILLE_BONNET
4133,942,FR,E,38,85,C
4166,942,FR,E,42,95,B
4171,942,FR,E,42,90,B
4183,942,FR,E,36,90,B
4198,942,FR,E,40,85,B
4204,942,FR,E,,,
4209,942,FR,E,38,80,A
4210,942,FR,E,42,90,B
4228,942,FR,E,42,95,D
4231,942,FR,E,38,90,A
4241,942,FR,E,38,85,A
4251,942,FR,E,40,85,B
4252,942,FR,E,44,,
4254,942,FR,N,42,90,E
4255,942,FR,N,38,90,B
4256,942,FR,E,,,
4262,942,FR,E,40,85,B
4263,942,FR,E,40,85,D
4264,942,FR,E,40,85,B
4269,942,FR,E,38,85,B
4272,942,FR,E,40,85,B
4277,942,FR,N,,,
4298,942,FR,E,40,85,B
4313,942,FR,E,40,95,B
4315,942,FR,E,40,85,B
4316,942,FR,E,42,90,B
4326,942,FR,E,38,85,B
4328,942,FR,E,42,90,A
4329,942,FR,E,38,85,B
4332,942,FR,E,38,90,B
4335,942,FR,M,46,100,d
4339,942,FR,E,40,90,B
4340,942,FR,E,42,90,C
4344,942,FR,E,,110,E
4345,942,FR,E,40,90,B
4351,942,FR,N,42,95,D
4357,942,FR,E,,,
4361,942,FR,E,34,80,A
4370,942,FR,E,,,
4382,942,FR,E,40,85,A
4384,942,FR,E,38,80,B
4397,942,FR,E,38,85,A
4399,942,FR,E,42,90,B
4408,942,FR,E,40,85,B
4409,942,FR,N,40,85,B
4415,942,FR,E,40,85,B
4419,942,FR,E,38,85,B
4438,942,FR,E,40,90,C
4443,942,FR,E,36,85,A
4447,942,FR,E,38,85,A
4448,942,FR,E,,,
4451,942,FR,N,42,85,B
4452,942,FR,E,38,85,B
4454,942,FR,E,40,90,B
4456,942,FR,E,40,80,B
4458,942,FR,E,42,90,C
4471,942,FR,E,38,85,B
4475,942,FR,E,40,,
4476,942,FR,E,40,85,B
4478,942,FR,E,44,90,C
4481,942,FR,E,42,90,B
4491,942,FR,E,38,90,C
4506,942,FR,E,40,85,D
4511,942,FR,E,44,95,C
4512,942,FR,E,44,85,B
4518,942,FR,E,44,95,B
4521,942,FR,E,38,90,B
4525,942,FR,E,42,95,B
4527,942,FR,E,46,95,B
4534,942,FR,E,42,85,B
4546,942,FR,E,40,85,C
4550,942,FR,E,40,90,B
4551,942,FR,N,40,85,B
4575,942,FR,E,42,95,D
4580,942,FR,E,40,85,B
4587,942,FR,E,38,85,A
4588,942,FR,E,38,85,B
4598,942,FR,N,42,90,A
4600,942,FR,E,38,90,B
4611,942,FR,E,42,85,B
4624,942,FR,M,38,85,B
4629,942,FR,E,44,90,B
4632,942,FR,E,42,90,D
4635,942,FR,E,40,90,B
4639,942,FR,E,38,90,B
4647,942,FR,E,42,90,D
4655,942,FR,E,40,90,C
4682,942,FR,E,38,85,C
4686,942,FR,E,40,85,B
4689,942,FR,E,44,95,C
4690,942,FR,E,44,90,D
4698,942,FR,E,38,85,C
4704,942,FR,E,40,90,A
4718,942,FR,E,38,90,D
4721,942,FR,E,,,
4725,942,FR,E,40,85,B
4729,942,FR,E,40,85,C
4730,942,FR,E,,95,B
4736,942,FR,E,38,85,B
4743,942,FR,E,,,
4744,942,FR,E,,,
4747,942,FR,M,38,85,B
4749,942,FR,E,38,90,B
4754,942,FR,E,38,85,C
4755,942,FR,E,44,90,C
4756,942,FR,E,40,90,E
4770,942,FR,N,42,95,C
4777,942,FR,E,42,80,B
4782,942,FR,E,38,85,B
4783,942,FR,E,40,90,B
4793,942,FR,E,44,90,B
4798,942,FR,E,42,90,B
4839,942,FR,E,42,95,C
4844,942,FR,E,38,85,C
4847,942,FR,E,36,85,A
4848,942,FR,E,,,
4857,941,FR,M,38,90,C
4860,941,FR,E,38,80,B
4861,941,FR,E,42,90,C
4862,941,FR,E,36,85,B
4863,941,FR,E,,,
4864,941,FR,E,40,90,B
4873,942,FR,E,38,90,B
4876,942,FR,E,42,95,D
4878,941,FR,E,42,85,B
4879,941,FR,E,38,85,B
4887,941,FR,E,36,85,B
4891,941,FR,E,38,90,D
4897,941,FR,E,,,
4898,941,FR,E,,,
4910,941,FR,E,40,90,C
4941,941,FR,N,36,80,A
4942,941,FR,E,38,90,B
4956,942,FR,E,42,85,C
4964,941,FR,E,44,95,B
4969,942,FR,E,38,85,B
4972,942,FR,E,36,90,B
4977,942,FR,N,40,90,B
4981,942,FR,E,40,85,B
4993,942,FR,E,40,90,B
4995,942,FR,E,38,85,C
5010,942,FR,E,48,,
5011,942,FR,E,42,95,D
5018,942,FR,E,36,95,C
5033,942,FR,E,36,80,B
5035,942,FR,N,38,85,A
5050,942,FR,E,40,90,B
5068,942,FR,E,38,80,B
5069,942,FR,E,38,80,B
5073,942,FR,E,,85,B
5090,942,FR,E,38,90,B
5100,941,FR,E,38,85,B
5102,941,FR,E,40,90,A
5115,942,FR,E,42,85,C
5117,942,FR,E,38,80,B
5121,941,FR,E,44,90,B
5123,941,FR,E,40,85,A
5136,941,FR,E,40,85,A
5148,941,FR,E,,,
5151,941,FR,E,42,85,B
5153,941,FR,E,36,90,A
5167,941,FR,E,,,
5175,941,FR,E,36,85,B
5176,941,FR,E,,,
5182,941,FR,E,40,95,B
5199,942,FR,E,38,90,C
5202,942,FR,E,38,80,A
5203,942,FR,E,40,75,A
5206,941,FR,E,40,90,C
5207,941,FR,E,42,90,B
5209,941,FR,E,40,85,B
5217,941,FR,E,38,85,B
5226,941,FR,E,38,90,B
5251,941,FR,E,,,
5257,941,FR,E,36,85,B
5259,941,FR,M,42,95,B
5260,941,FR,E,,,
5279,941,FR,E,,,
5293,941,FR,E,38,90,D
5295,941,FR,E,,,
5296,771,FR,M,36,90,C
5304,941,FR,E,36,85,A
5308,941,FR,E,,85,C
5312,941,FR,E,44,90,B
5314,941,FR,E,42,90,D
5321,941,FR,E,40,95,C
5324,941,FR,E,40,90,B
5326,941,FR,E,38,85,B
5336,941,FR,E,38,85,B
5337,941,FR,E,38,90,C
5350,941,FR,E,38,90,B
5351,941,FR,N,,,
5352,941,FR,E,38,85,B
5361,941,FR,S,,,
5366,941,FR,E,38,85,B
5375,941,FR,E,,80,B
5381,941,FR,E,,,
5386,941,FR,E,38,90,B
5399,941,FR,E,42,95,D
5406,941,FR,E,40,90,B
5407,941,FR,N,,,
5419,941,FR,E,,,
5450,941,FR,N,42,95,C
5452,941,FR,E,44,90,C
5458,941,FR,M,40,95,B
5459,941,FR,E,42,90,B
5466,941,FR,E,42,90,B
5468,941,FR,N,38,90,B
5469,941,FR,E,,,
5477,941,FR,E,38,85,B
5481,941,FR,E,38,85,B
5482,941,FR,E,38,85,B
5493,941,FR,E,40,90,C
5497,941,FR,E,38,85,B
5510,941,FR,E,,,
5513,941,FR,N,,,
5518,941,FR,E,44,95,C
5521,941,FR,E,,,
5537,941,FR,E,40,95,B
5540,941,FR,E,38,85,A
5544,941,FR,E,42,,
5549,941,FR,N,,85,B
5555,941,FR,E,38,85,B
5566,941,FR,E,40,85,B
5573,941,FR,E,40,,
5591,941,,N,40,90,B
5602,941,FR,N,40,90,A
5606,941,FR,E,38,85,B
5607,941,FR,E,40,90,B
5614,941,FR,E,42,90,B
5618,941,FR,E,40,85,E
5639,941,FR,N,40,95,B
5645,941,FR,E,38,85,C
5655,941,FR,E,,,
5658,941,FR,E,36,90,C
5665,941,FR,E,42,90,B
5666,941,FR,E,,,
5669,941,FR,E,40,80,B
5680,941,FR,E,,,
5691,941,FR,E,34,85,A
5709,941,FR,E,36,80,B
5721,941,FR,E,,,
5730,941,FR,E,,,
5739,941,FR,E,38,85,B
5747,941,FR,E,36,85,C
5754,941,FR,E,,,
5756,941,FR,E,42,90,B
5760,941,FR,E,,,
5765,941,FR,E,38,90,B
5767,941,FR,E,40,85,B
5770,941,FR,E,38,85,B
5775,941,FR,E,38,80,B
5778,941,FR,N,38,90,C
5781,941,FR,E,44,95,C
5786,941,FR,E,,,
5788,941,FR,E,,85,B
5789,941,FR,E,,90,C
5797,941,FR,E,,,
5806,331,FR,M,40,90,B
5810,941,FR,E,38,90,B
5827,941,FR,E,38,85,B
5831,941,FR,E,40,,
5832,941,FR,E,,85,B
5833,941,FR,N,,,
5834,941,FR,E,,,
5844,941,FR,E,,,
5853,941,FR,E,40,85,B
5856,941,FR,E,40,90,C
5857,941,FR,N,38,85,D
5863,941,FR,E,40,90,C
5864,941,FR,N,,,
5867,941,FR,E,38,85,B
5870,941,FR,E,38,,
5877,941,FR,E,38,80,B
5879,941,FR,E,42,90,B
